f1,f2,f3,f4,f5,val_score
classic_sta_lta4_q05,mean,classic_sta_lta1_q95,q95_roll_mean_1000,q05_roll_std_1000,2.354116439819336
av_change_rate_roll_mean_100_v2,Rmean,Imean,q05_roll_std_1000,q05_roll_std_10,2.35412335395813
q05_roll_std_10,av_change_rate_roll_std_100,classic_sta_lta5_mean,modified_sta_lta6_mean,Rmax_last_15000,2.35420823097229
av_change_abs_roll_std_10,abs_q99,q05_roll_std_1000,q05_roll_mean_10,modified_sta_lta5_q95,2.354280710220337
Rstd,avg_last_10000,modified_sta_lta8_q05,q05_roll_std_10,q99,2.354283571243286
max_roll_mean_10,freq_cross_last_50000,exp_Moving_average_30000_mean,q05_roll_std_1000,classic_sta_lta2_mean,2.3542938232421875
classic_sta_lta4_mean,q001,q05_roll_std_100,modified_sta_lta6_q95,abs_max_roll_std_100,2.3543176651000977
max_roll_mean_10,q05_roll_std_10,classic_sta_lta1_q95,q001,Rmax_last_5000,2.3543596267700195
modified_sta_lta7_q95,q05_roll_std_100,max_last_50000,Rmin_last_15000,q95,2.3543694019317627
av_change_rate_roll_std_100,abs_q01,q05_roll_std_1000,modified_sta_lta2_q95,q01_roll_mean_1000,2.3544554710388184
q05,ave10,abs_q05,q05_roll_std_100,max_to_min,2.3544554710388184
av_change_rate_roll_std_10v2,av_change_rate_roll_mean_1000_v2,modified_sta_lta5_q05,ave_roll_mean_100,q05_roll_std_100,2.354501485824585
q05_roll_std_10,mean_change_rate_last_10000_v2,av_change_abs_roll_mean_10,av_change_rate_roll_std_1000,classic_sta_lta6_q95,2.354506015777588
classic_sta_lta8_mean,min_roll_std_100,av_change_rate_roll_mean_100_v2,q05_roll_std_1000,classic_sta_lta1_q05,2.3545587062835693
trend,MA_400MA_BB_high_mean,classic_sta_lta5_q05,q05_roll_std_10,Hilbert_mean,2.3546161651611333
abs_std,q05_roll_std_1000,q05,av_change_abs_roll_std_1000,exp_Moving_average_300_mean,2.354620933532715
std,ave10,max_to_min,abs_q05,q05_roll_std_1000,2.354651927947998
modified_sta_lta1_mean,max_to_min_diff,abs_q05,ave10,q05_roll_std_100,2.354677438735962
q05_roll_std_1000,modified_sta_lta2_mean,max_to_min,av_change_rate_roll_std_1000v2,classic_sta_lta2_q95,2.354687452316284
abs_q05,classic_sta_lta7_q05,MA_400MA_BB_high_mean,q05_roll_std_1000,min_first_10000,2.3546879291534424
Rmin_last_15000,q05_roll_std_1000,classic_sta_lta5_q95,q05_roll_std_10,Imean,2.3547227382659908
q05_roll_std_1000,mean_change_rate_last_10000,Rmin,modified_sta_lta1_q95,mean_change_rate,2.354780673980713
q95_roll_std_100,classic_sta_lta7_mean,q05_roll_std_10,std_roll_std_100,modified_sta_lta6_q05,2.354856252670288
mean_change_rate_last_10000_v2,classic_sta_lta7_q95,classic_sta_lta2_q95,avg_last_10000,q05_roll_std_1000,2.3548755645751958
avg_first_10000,modified_sta_lta2_q05,classic_sta_lta7_mean,mean_change_rate,q05_roll_std_1000,2.3548834323883057
abs_max,q05_roll_std_1000,classic_sta_lta1_mean,Moving_average_6000_mean,modified_sta_lta1_q95,2.3549036979675293
min_roll_mean_100,modified_sta_lta6_q95,q05_roll_std_100,avg_first_50000,max_last_10000,2.354907512664795
q05_roll_std_1000,av_change_rate_roll_mean_1000_v2,kurt,freq_cross_first_10000,mean_change_rate,2.3549258708953857
classic_sta_lta2_q95,q99_roll_mean_100,abs_q01,q05_roll_std_10,modified_sta_lta7_q95,2.3550195693969727
Imin,max_to_min_diff,classic_sta_lta5_mean,q05_roll_std_1000,av_change_abs_roll_std_100,2.355043649673462
modified_sta_lta8_q05,modified_sta_lta6_q05,freq_cross_first_50000,q95_roll_mean_100,q05_roll_std_1000,2.3550450801849365
Rstd_last_15000,q05_roll_std_1000,abs_q05,q001,modified_sta_lta6_mean,2.3550479412078857
Imax,classic_sta_lta1_q95,mean_change_rate_last_50000,q05_roll_std_10,max_last_50000,2.35506010055542
classic_sta_lta8_mean,q05_roll_std_1000,med,exp_Moving_average_3000_mean,q01_roll_mean_100,2.355065107345581
classic_sta_lta7_mean,av_change_abs_roll_mean_10,q05_roll_std_1000,modified_sta_lta5_q95,Rmax,2.3550870418548584
q05_roll_std_100,min_roll_mean_10,modified_sta_lta7_mean,modified_sta_lta8_q95,classic_sta_lta6_q95,2.355210065841675
mean_change_rate_first_10000_v2,q05_roll_std_1000,min_roll_std_1000,abs_std,modified_sta_lta1_q95,2.3552815914154053
classic_sta_lta6_q05,modified_sta_lta6_q95,q05_roll_std_100,q95_roll_mean_10,mean_change_rate_last_10000,2.35530161857605
exp_Moving_average_3000_mean,MA_700MA_std_mean,modified_sta_lta5_mean,q05_roll_std_100,abs_max_roll_std_100,2.355337381362915
Moving_average_3000_mean,classic_sta_lta3_q95,max_to_min,mean_change_rate,q05_roll_std_100,2.3553483486175537
modified_sta_lta5_q95,classic_sta_lta8_q05,q95_roll_mean_10,classic_sta_lta8_q95,q05_roll_std_10,2.3553895950317383
modified_sta_lta3_q95,modified_sta_lta5_q05,av_change_rate_roll_std_100,q01_roll_mean_1000,q05_roll_std_1000,2.355395555496216
iqr,modified_sta_lta8_q05,av_change_abs_roll_mean_10,q05_roll_mean_1000,q05_roll_std_10,2.355430126190185
abs_max,Hilbert_mean,q05_roll_std_1000,q05_roll_std_10,av_change_rate_roll_std_1000v2,2.3554413318634038
min_first_10000,Imean,Rmin,q05_roll_std_1000,Moving_average_30000_mean,2.3554491996765137
max_last_10000,modified_sta_lta3_q05,trend,abs_min,q05_roll_std_1000,2.355496883392334
exp_Moving_average_30000_mean,q95,classic_sta_lta7_q05,q05_roll_std_100,classic_sta_lta5_mean,2.3556504249572754
kurt,q05_roll_std_1000,mean_change_rate_first_50000,mean_change_rate_last_10000_v2,modified_sta_lta1_q95,2.355656862258911
q01_roll_std_10,Imax,q05,q05_roll_std_1000,skew,2.3556792736053467
classic_sta_lta5_mean,std_roll_mean_100,max_roll_std_10,ave_roll_std_100,q05_roll_std_10,2.355712413787842
